date,sentiment,trend
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,-0.34,0
2021-01-05,0.0,0
2021-01-05,-0.4215,0
2021-01-05,0.3818,1
2021-01-05,0.0,0
2021-01-05,0.5423,1
2021-01-05,0.6486,1
2021-01-05,0.0,0
2021-01-05,0.0,0
2021-01-05,-0.6705,0
2021-01-05,0.4215,1
2021-01-05,0.0,0
2021-01-05,0.3182,1
2021-01-05,0.8402,1
2021-01-05,0.9186,1
2021-01-06,0.0,0
2021-01-06,-0.2023,0
2021-01-06,0.296,1
2021-01-06,0.3612,1
2021-01-06,0.2023,1
2021-01-06,0.0,0
2021-01-06,0.6808,1
2021-01-06,0.3612,1
2021-01-06,0.0,0
2021-01-06,0.3903,1
2021-01-06,0.3818,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.4019,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.7184,1
2021-01-06,-0.3252,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,-0.4767,0
2021-01-06,0.0,0
2021-01-06,0.3612,1
2021-01-06,0.0,0
2021-01-06,0.4215,1
2021-01-06,0.6705,1
2021-01-06,0.4753,1
2021-01-06,0.0,0
2021-01-06,0.6046,1
2021-01-06,-0.197,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,-0.6369,0
2021-01-06,-0.7239,0
2021-01-06,0.6369,1
2021-01-06,0.3612,1
2021-01-06,-0.0258,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,-0.2732,0
2021-01-06,0.0,0
2021-01-06,0.4019,1
2021-01-06,0.0,0
2021-01-06,0.4019,1
2021-01-06,-0.4767,0
2021-01-06,-0.6908,0
2021-01-06,0.3612,1
2021-01-06,0.3818,1
2021-01-06,0.4019,1
2021-01-06,0.0,0
2021-01-06,0.4215,1
2021-01-06,0.2732,1
2021-01-06,0.3182,1
2021-01-06,0.0,0
2021-01-06,0.2732,1
2021-01-06,0.8176,1
2021-01-06,-0.4939,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,-0.3252,0
2021-01-06,-0.2023,0
2021-01-06,-0.4767,0
2021-01-06,-0.5423,0
2021-01-06,0.0,0
2021-01-06,-0.3182,0
2021-01-06,-0.6597,0
2021-01-06,0.5106,1
2021-01-06,0.0,0
2021-01-06,-0.4404,0
2021-01-06,-0.2023,0
2021-01-06,0.0,0
2021-01-06,-0.7506,0
2021-01-06,-0.4404,0
2021-01-06,0.2732,1
2021-01-06,-0.8097,0
2021-01-06,0.1531,1
2021-01-06,0.5719,1
2021-01-06,0.4404,1
2021-01-06,-0.1027,0
2021-01-06,0.4588,1
2021-01-06,0.1027,1
2021-01-06,0.0,0
2021-01-06,0.2023,1
2021-01-06,0.5994,1
2021-01-06,0.0,0
2021-01-06,0.4588,1
2021-01-06,-0.2732,0
2021-01-06,0.0,0
2021-01-06,0.2732,1
2021-01-06,0.4404,1
2021-01-06,0.3612,1
2021-01-06,-0.5106,0
2021-01-06,-0.1779,0
2021-01-06,0.0,0
2021-01-06,0.0258,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.296,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.7717,1
2021-01-06,0.0,0
2021-01-06,0.1027,1
2021-01-06,0.0,0
2021-01-06,0.7269,1
2021-01-06,-0.4019,0
2021-01-06,0.4404,1
2021-01-06,0.0,0
2021-01-06,0.4939,1
2021-01-06,0.0,0
2021-01-06,0.4215,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.128,1
2021-01-06,0.0,0
2021-01-06,0.2023,1
2021-01-06,0.5719,1
2021-01-06,0.0,0
2021-01-06,0.4215,1
2021-01-06,-0.296,0
2021-01-06,0.5994,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,-0.2732,0
2021-01-06,0.3818,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.4019,1
2021-01-06,-0.5423,0
2021-01-06,-0.5106,0
2021-01-06,0.0,0
2021-01-06,0.3182,1
2021-01-06,-0.2263,0
2021-01-06,-0.4215,0
2021-01-06,0.0,0
2021-01-06,0.4404,1
2021-01-06,-0.1531,0
2021-01-06,0.0,0
2021-01-06,0.4019,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.8555,1
2021-01-06,0.128,1
2021-01-06,0.0,0
2021-01-06,0.8316,1
2021-01-06,0.0,0
2021-01-06,0.3818,1
2021-01-06,0.4215,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.4767,1
2021-01-06,-0.3818,0
2021-01-06,0.0,0
2021-01-06,0.6369,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,-0.5423,0
2021-01-06,-0.1027,0
2021-01-06,0.4404,1
2021-01-06,0.0,0
2021-01-06,0.3657,1
2021-01-06,0.0,0
2021-01-06,0.2732,1
2021-01-06,0.8885,1
2021-01-06,0.0,0
2021-01-06,0.6249,1
2021-01-06,0.0,0
2021-01-06,0.7579,1
2021-01-06,0.4019,1
2021-01-06,0.3182,1
2021-01-06,0.5994,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.3612,1
2021-01-06,0.0,0
2021-01-06,0.5267,1
2021-01-06,0.4215,1
2021-01-06,0.3612,1
2021-01-06,-0.3182,0
2021-01-06,0.0,0
2021-01-06,0.6557,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.4019,1
2021-01-06,0.0,0
2021-01-06,0.836,1
2021-01-06,0.8271,1
2021-01-06,0.5859,1
2021-01-06,-0.34,0
2021-01-06,0.7269,1
2021-01-06,0.765,1
2021-01-06,0.296,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,-0.34,0
2021-01-06,0.0,0
2021-01-06,0.2263,1
2021-01-06,0.3818,1
2021-01-06,0.4404,1
2021-01-06,0.8316,1
2021-01-06,0.5267,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,-0.2732,0
2021-01-06,0.4404,1
2021-01-06,0.0,0
2021-01-06,0.3612,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.5423,1
2021-01-06,0.0,0
2021-01-06,0.5719,1
2021-01-06,0.2732,1
2021-01-06,0.0,0
2021-01-06,0.5574,1
2021-01-06,0.1513,1
2021-01-06,0.768,1
2021-01-06,-0.6369,0
2021-01-06,-0.743,0
2021-01-06,0.296,1
2021-01-06,0.0,0
2021-01-06,0.3182,1
2021-01-06,0.8074,1
2021-01-06,0.0,0
2021-01-06,-0.296,0
2021-01-06,-0.34,0
2021-01-06,0.1531,1
2021-01-06,0.0,0
2021-01-06,0.3612,1
2021-01-06,0.7269,1
2021-01-06,0.0,0
2021-01-06,-0.4019,0
2021-01-06,-0.6354,0
2021-01-06,0.0,0
2021-01-06,-0.4767,0
2021-01-06,0.4019,1
2021-01-06,0.5719,1
2021-01-06,0.0,0
2021-01-06,0.4939,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,-0.1531,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,-0.4939,0
2021-01-06,0.0,0
2021-01-06,-0.4019,0
2021-01-06,0.0,0
2021-01-06,0.4404,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.6582,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.4939,1
2021-01-06,0.5267,1
2021-01-06,-0.2182,0
2021-01-06,0.0,0
2021-01-06,0.4404,1
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.0,0
2021-01-06,0.743,1
2021-01-06,0.0,0
2021-01-06,0.8402,1
